Timestamp,Clarity Score
12.193,93.854
12.217,93.854
12.233,93.854
12.257,95.461
12.278,95.461
12.322,66.469
12.338,66.469
12.402,49.398
12.417,49.398
12.465,48.757
12.480,48.757
12.545,13.198
12.559,13.198
12.609,8.992
12.635,8.992
12.673,7.942
12.696,7.942
12.754,6.303
12.773,6.303
12.788,6.303
12.818,4.710
12.834,4.710
12.914,3.960
12.928,3.960
13.025,4.590
13.052,4.590
13.066,4.590
13.082,4.590
13.139,9.333
13.159,9.333
13.174,9.333
13.268,13.397
13.283,13.397
13.297,13.397
13.314,13.397
13.378,14.362
13.391,14.362
13.407,14.362
13.506,15.396
13.518,15.396
13.532,15.396
13.546,15.396
13.618,14.928
13.639,14.928
13.654,14.928
13.669,14.928
13.747,14.843
13.761,14.843
13.774,14.843
13.859,14.489
13.883,14.489
13.901,14.489
13.915,14.489
13.984,15.480
14.098,15.806
14.111,15.806
14.133,15.806
14.227,16.312
14.239,16.312
14.256,16.312
14.272,16.312
14.338,16.801
14.352,16.801
14.381,16.801
14.466,16.282
14.479,16.282
14.491,16.282
14.503,16.282
14.578,16.660
14.590,16.660
14.603,16.660
14.705,15.844
14.718,15.844
14.734,15.844
14.751,15.844
14.817,16.478
14.843,16.478
14.859,16.478
14.874,16.478
14.946,16.301
14.966,16.301
14.982,16.301
15.059,16.680
15.076,16.680
15.091,16.680
15.105,16.680
15.185,16.966
15.298,16.670
15.324,16.670
15.339,16.670
15.426,16.884
15.451,16.884
15.465,16.884
15.481,16.884
15.538,17.367
15.557,17.367
15.574,17.367
15.667,16.748
15.682,16.748
15.696,16.748
15.713,16.748
15.778,17.056
15.805,17.056
15.821,17.056
15.907,16.577
15.930,16.577
15.945,16.577
15.962,16.577
16.017,16.784
16.146,17.249
16.163,17.249
16.179,17.249
16.256,16.856
16.385,17.069
16.396,17.069
16.410,17.069
16.426,17.069
16.498,17.147
16.511,17.147
16.523,17.147
16.626,16.981
16.638,16.981
